# AFTER: 1d66caf8 (perf improvements applied)
go version go1.26.4 darwin/arm64
goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/proxy
cpu: Apple M1
BenchmarkConnectionChurn-8               	    4398	    279195 ns/op	  160382 B/op	    1125 allocs/op
PASS
ok  	github.com/ghostunnel/ghostunnel/proxy	179.352s
goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/certloader
cpu: Apple M1
BenchmarkGetServerConfig/serial           	482686390	         2.319 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial           	519676335	         2.313 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial           	518974837	         2.316 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial           	519479486	         2.316 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial           	520178876	         2.312 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial           	520528617	         2.315 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial           	522487839	         2.307 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial           	519549585	         2.314 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial           	518293138	         2.314 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial           	521721928	         2.307 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-4         	521592102	         2.311 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-4         	520636455	         2.317 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-4         	516710935	         2.325 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-4         	503728465	         2.329 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-4         	516613239	         2.320 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-4         	521188105	         2.311 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-4         	518981288	         2.309 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-4         	519762619	         2.312 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-4         	517837676	         2.308 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-4         	512035137	         2.314 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-8         	518006016	         2.310 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-8         	520154918	         2.309 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-8         	520010286	         2.312 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-8         	518461551	         2.307 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-8         	520177558	         2.307 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-8         	519847900	         2.305 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-8         	518459217	         2.307 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-8         	519056584	         2.311 ns/op	       0 B/op	       0 allocs/op
