# BEFORE: 0bf0b646 (benchmarks only, no perf changes)
go version go1.26.4 darwin/arm64
goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/proxy
cpu: Apple M1
BenchmarkGetClientConfig/serial-8         	12483793	        95.15 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	12302408	        95.73 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	12567950	        97.00 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	12760792	        95.06 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	12580171	        95.80 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	12608761	        95.48 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	12668366	        94.91 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	12566541	        95.09 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	12567468	        95.19 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 8952865	       134.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 8989518	       133.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 8862783	       134.0 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 9031556	       133.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 9035386	       135.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 8908624	       133.3 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 8966199	       134.3 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 8858174	       133.5 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 8993720	       136.3 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 8847112	       136.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	10445526	       117.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	10306030	       115.7 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	 9108360	       119.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	10182747	       118.5 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	10071700	       116.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	10371022	       117.8 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	10213576	       115.1 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	10578585	       117.0 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	10342698	       117.1 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	10192987	       117.1 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7552063	       161.3 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7493967	       161.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7440168	       162.0 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7405860	       159.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7525106	       159.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7612779	       155.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7355790	       156.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7831672	       158.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 6996669	       157.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7198446	       161.6 ns/op	     504 B/op	       2 allocs/op
PASS
ok  	github.com/ghostunnel/ghostunnel/certloader	160.319s
