# After Finding 12 (skip metric collection when no sink configured)
go version go1.26.4 darwin/arm64

goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/proxy
cpu: Apple M1
ok  	github.com/ghostunnel/ghostunnel/proxy	181.477s
goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/certloader
cpu: Apple M1
BenchmarkGetServerConfig/serial           	 8167515	       139.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial           	 8767963	       138.0 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial           	 8186634	       144.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial           	 8658726	       142.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial           	 8487816	       143.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial           	 8038756	       144.0 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial           	 8607201	       140.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial           	 8416718	       141.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial           	 8770267	       143.3 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial           	 7881032	       140.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-4         	12106074	       104.0 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-4         	11695568	       108.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-4         	10704548	       104.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-4         	12245251	       110.7 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-4         	12101882	       106.8 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-4         	11123121	       101.7 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-4         	11604073	       102.5 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-4         	11991705	       100.8 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-4         	12183544	       101.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-4         	11816062	       103.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-8         	11454046	       100.7 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-8         	12526194	       100.3 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-8         	12274262	        95.79 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-8         	12588544	        98.69 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-8         	12370516	       105.5 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-8         	10762170	        99.48 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-8         	12171002	       100.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-8         	12398673	        97.21 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-8         	10955780	        99.00 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/serial-8         	10366774	        97.05 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel         	 8329327	       139.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel         	 8635606	       141.1 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel         	 8585806	       142.7 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel         	 8278188	       141.8 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel         	 8574806	       140.1 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel         	 8086054	       141.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel         	 8536813	       143.7 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel         	 8540874	       138.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel         	 8341394	       139.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel         	 8353290	       138.3 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-4       	 9939637	       122.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-4       	 9635622	       122.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-4       	 9212812	       122.7 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-4       	 9979994	       122.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-4       	10081333	       122.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-4       	 9332468	       124.1 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-4       	10078196	       123.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-4       	 9894291	       124.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-4       	 9212347	       123.8 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-4       	 9819595	       122.7 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-8       	 7485871	       169.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-8       	 6830377	       169.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-8       	 7309180	       166.5 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-8       	 7424568	       163.0 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-8       	 7592785	       169.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-8       	 7333976	       164.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-8       	 7246058	       158.1 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-8       	 5420229	       219.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-8       	 5611789	       211.3 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetServerConfig/parallel-8       	 5704981	       198.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial           	 6579229	       156.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial           	 8422392	       144.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial           	 8142571	       144.1 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial           	 8309145	       145.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial           	 8415306	       147.7 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial           	 8000288	       146.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial           	 8461755	       153.3 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial           	 7842434	       152.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial           	 7671172	       147.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial           	 8218249	       156.1 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-4         	11780060	       103.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-4         	11747764	       107.1 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-4         	11688477	       102.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-4         	10372755	       107.8 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-4         	11311790	       115.7 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-4         	11742630	       117.3 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-4         	11574548	       112.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-4         	11796712	       107.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-4         	 8385340	       141.1 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-4         	11197920	       108.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	12043184	       118.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	11638558	       107.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	11768575	       102.0 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	12003985	       131.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	11717844	       131.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	 9147633	       140.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	 8824174	       143.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	 8878974	       130.2 ns/op	     504 B/op	       2 allocs/op
